job_id,title,description,created,company,region,soc_code,salary_min,salary_max,category,skills_required,source
ADZ-1000016,Senior Hydroelectric Plant Operator,"We are seeking a motivated Senior Hydroelectric Plant Operator to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Health & Safety, Plant Operations, Boiler Control. We offer competitive salary and career progression.",2026-06-24,Babcock International,West Midlands,8124,60802,66222,Green Energy,Health & Safety;Plant Operations;Boiler Control,scraped_mock
ADZ-1000017,Cardiac Physiologist,"We are seeking a motivated Cardiac Physiologist to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in MRI, Laboratory Testing, Medical Imaging. We offer competitive salary and career progression.",2026-07-01,Nuffield Health,West Midlands,3211,31530,34260,Healthcare,MRI;Laboratory Testing;Medical Imaging,scraped_mock
ADZ-1000018,District Nurse,"We are seeking a motivated District Nurse to join our growing team in South East. The successful candidate will demonstrate proficiency in Wound Care, Medication Administration, CPR. We offer competitive salary and career progression.",2026-05-26,Nuffield Health,South East,2231,47013,51643,Healthcare,Wound Care;Medication Administration;CPR;NMC Pin;Record Keeping,scraped_mock
ADZ-1000019,Senior Frontend Web Specialist,"We are seeking a motivated Senior Frontend Web Specialist to join our growing team in London. The successful candidate will demonstrate proficiency in Responsive Design, CSS, Web Content. We offer competitive salary and career progression.",2026-04-28,Ocado Technology,London,2137,124122,136475,Tech,Responsive Design;CSS;Web Content,scraped_mock
ADZ-1000020,Renewable Energy Design Specialist,"We are seeking a motivated Renewable Energy Design Specialist to join our growing team in Wales. The successful candidate will demonstrate proficiency in HVAC, Turbine Technology, Mechanical Design. We offer competitive salary and career progression.",2026-07-03,ScottishPower Renewables,Wales,2122,44712,49356,Green Energy,HVAC;Turbine Technology;Mechanical Design,scraped_mock
ADZ-1000021,Senior Consultant Cardiologist,"We are seeking a motivated Senior Consultant Cardiologist to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Internal Medicine, Medical Research, Patient Care. We offer competitive salary and career progression.",2026-07-06,NHS England,West Midlands,2211,91480,97577,Healthcare,Internal Medicine;Medical Research;Patient Care;Clinical Diagnostics;Prescribing,scraped_mock
ADZ-1000022,Junior Medical Lab Technician,"We are seeking a motivated Junior Medical Lab Technician to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Pathology, Medical Imaging, Laboratory Testing. We offer competitive salary and career progression.",2026-07-15,Bupa UK,West Midlands,3211,28242,31215,Healthcare,Pathology;Medical Imaging;Laboratory Testing;X-Ray;MRI,scraped_mock
ADZ-1000023,Medical Doctor,"We are seeking a motivated Medical Doctor to join our growing team in East of England. The successful candidate will demonstrate proficiency in Patient Care, Internal Medicine, Prescribing. We offer competitive salary and career progression.",2026-04-21,NHS Scotland,East of England,2211,75863,84150,Healthcare,Patient Care;Internal Medicine;Prescribing;Clinical Diagnostics;Medical Research,scraped_mock
ADZ-1000024,Cardiac Physiologist,"We are seeking a motivated Cardiac Physiologist to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in MRI, X-Ray, Medical Imaging. We offer competitive salary and career progression.",2026-05-28,NHS Scotland,West Midlands,3211,34964,39678,Healthcare,MRI;X-Ray;Medical Imaging;Laboratory Testing;Pathology,scraped_mock
ADZ-1000025,Senior DevOps Specialist,"We are seeking a motivated Senior DevOps Specialist to join our growing team in Wales. The successful candidate will demonstrate proficiency in Data Pipelines, Kubernetes, Spark. We offer competitive salary and career progression.",2026-07-09,CGI UK,Wales,2139,89880,95560,Tech,Data Pipelines;Kubernetes;Spark;AWS,scraped_mock
ADZ-1000026,Principal Electrical Engineer - Solar PV,"We are seeking a motivated Principal Electrical Engineer - Solar PV to join our growing team in London. The successful candidate will demonstrate proficiency in Power Systems, MATLAB, HV Electrical. We offer competitive salary and career progression.",2026-06-29,Orsted UK,London,2123,52145,55594,Green Energy,Power Systems;MATLAB;HV Electrical;Grid Connections;PLC Programming,scraped_mock
ADZ-1000027,Clinical Pharmacist,"We are seeking a motivated Clinical Pharmacist to join our growing team in South East. The successful candidate will demonstrate proficiency in Medicines Management, Clinical Pharmacy, Patient Counselling. We offer competitive salary and career progression.",2026-04-21,Nuffield Health,South East,2237,46210,48964,Healthcare,Medicines Management;Clinical Pharmacy;Patient Counselling;Prescription Auditing,scraped_mock
ADZ-1000028,Structural Engineer - Renewables,"We are seeking a motivated Structural Engineer - Renewables to join our growing team in South East. The successful candidate will demonstrate proficiency in Project Management, CDM Regulations, Civil Engineering. We offer competitive salary and career progression.",2026-07-10,Orsted UK,South East,2121,65848,71481,Green Energy,Project Management;CDM Regulations;Civil Engineering;Structural Analysis;AutoCAD,scraped_mock
ADZ-1000029,Information Security Officer,"We are seeking a motivated Information Security Officer to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Spark, CI/CD, Data Pipelines. We offer competitive salary and career progression.",2026-06-10,Sage Group,Scotland,2139,64826,71168,Tech,Spark;CI/CD;Data Pipelines;Terraform;Cyber Security,scraped_mock
ADZ-1000030,Senior Registered Nurse,"We are seeking a motivated Senior Registered Nurse to join our growing team in Wales. The successful candidate will demonstrate proficiency in Wound Care, Patient Assessment, Record Keeping. We offer competitive salary and career progression.",2026-05-14,HCA Healthcare UK,Wales,2231,57604,63604,Healthcare,Wound Care;Patient Assessment;Record Keeping;NMC Pin,scraped_mock
ADZ-1000031,Lead Renewable Systems Designer,"We are seeking a motivated Lead Renewable Systems Designer to join our growing team in East of England. The successful candidate will demonstrate proficiency in SolidWorks, Renewable Design, Prototyping. We offer competitive salary and career progression.",2026-04-29,ScottishPower Renewables,East of England,2126,68652,77325,Green Energy,SolidWorks;Renewable Design;Prototyping;Battery Chemistry;Product Design,scraped_mock
ADZ-1000032,Lead Registered Nurse,"We are seeking a motivated Lead Registered Nurse to join our growing team in South West. The successful candidate will demonstrate proficiency in Record Keeping, NMC Pin, Wound Care. We offer competitive salary and career progression.",2026-06-11,Barchester Healthcare,South West,2231,85120,96389,Healthcare,Record Keeping;NMC Pin;Wound Care;Medication Administration;CPR;Patient Assessment,scraped_mock
ADZ-1000033,Energy Plant Operative,"We are seeking a motivated Energy Plant Operative to join our growing team in South West. The successful candidate will demonstrate proficiency in Health & Safety, Equipment Maintenance, Boiler Control. We offer competitive salary and career progression.",2026-05-16,Vestas UK,South West,8124,54481,60923,Green Energy,Health & Safety;Equipment Maintenance;Boiler Control;Plant Operations;SCADA,scraped_mock
ADZ-1000034,Solution Architect,"We are seeking a motivated Solution Architect to join our growing team in South East. The successful candidate will demonstrate proficiency in UML, Requirements Gathering, System Architecture. We offer competitive salary and career progression.",2026-06-08,Revolut,South East,2135,73628,81371,Tech,UML;Requirements Gathering;System Architecture,scraped_mock
ADZ-1000035,Lead Registrar - Acute Medicine,"We are seeking a motivated Lead Registrar - Acute Medicine to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Medical Research, Patient Care, Internal Medicine. We offer competitive salary and career progression.",2026-06-24,Bupa UK,Scotland,2211,76564,82425,Healthcare,Medical Research;Patient Care;Internal Medicine;Prescribing,scraped_mock
ADZ-1000036,Senior Infrastructure Project Engineer,"We are seeking a motivated Senior Infrastructure Project Engineer to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in AutoCAD, CDM Regulations, Civil Engineering. We offer competitive salary and career progression.",2026-06-05,Ecotricity,West Midlands,2121,71933,78052,Green Energy,AutoCAD;CDM Regulations;Civil Engineering,scraped_mock
ADZ-1000037,Senior Mechanical Engineer - Wind Turbines,"We are seeking a motivated Senior Mechanical Engineer - Wind Turbines to join our growing team in North West. The successful candidate will demonstrate proficiency in CAD, FEA, HVAC. We offer competitive salary and career progression.",2026-06-08,Orsted UK,North West,2122,68464,73917,Green Energy,CAD;FEA;HVAC;Mechanical Design;Turbine Technology,scraped_mock
ADZ-1000038,Junior HVAC Engineer - Heat Pumps,"We are seeking a motivated Junior HVAC Engineer - Heat Pumps to join our growing team in London. The successful candidate will demonstrate proficiency in Thermodynamics, FEA, CAD. We offer competitive salary and career progression.",2026-05-05,SSE Renewables,London,2122,42105,44997,Green Energy,Thermodynamics;FEA;CAD;Mechanical Design,scraped_mock
ADZ-1000039,Cyber Security Analyst,"We are seeking a motivated Cyber Security Analyst to join our growing team in South East. The successful candidate will demonstrate proficiency in Data Pipelines, CI/CD, Cyber Security. We offer competitive salary and career progression.",2026-04-19,Sage Group,South East,2139,57831,60768,Tech,Data Pipelines;CI/CD;Cyber Security;Terraform;AWS,scraped_mock
ADZ-1000040,Registered Nurse,"We are seeking a motivated Registered Nurse to join our growing team in South East. The successful candidate will demonstrate proficiency in Record Keeping, Medication Administration, Patient Assessment. We offer competitive salary and career progression.",2026-06-02,Bupa UK,South East,2231,33946,37263,Healthcare,Record Keeping;Medication Administration;Patient Assessment,scraped_mock
ADZ-1000041,Junior Hydroelectric Plant Operator,"We are seeking a motivated Junior Hydroelectric Plant Operator to join our growing team in South West. The successful candidate will demonstrate proficiency in Boiler Control, Equipment Maintenance, Health & Safety. We offer competitive salary and career progression.",2026-05-20,Orsted UK,South West,8124,30360,34271,Green Energy,Boiler Control;Equipment Maintenance;Health & Safety;SCADA;Plant Operations,scraped_mock
ADZ-1000042,Programmer,"We are seeking a motivated Programmer to join our growing team in South West. The successful candidate will demonstrate proficiency in Node.js, Docker, React. We offer competitive salary and career progression.",2026-05-27,Revolut,South West,2136,75729,80529,Tech,Node.js;Docker;React;Java,scraped_mock
ADZ-1000043,Electrical Engineer - Solar PV,"We are seeking a motivated Electrical Engineer - Solar PV to join our growing team in London. The successful candidate will demonstrate proficiency in MATLAB, Grid Connections, HV Electrical. We offer competitive salary and career progression.",2026-06-07,Vestas UK,London,2123,67954,71316,Green Energy,MATLAB;Grid Connections;HV Electrical;PLC Programming;Power Systems,scraped_mock
ADZ-1000044,Junior Energy Plant Operative,"We are seeking a motivated Junior Energy Plant Operative to join our growing team in East of England. The successful candidate will demonstrate proficiency in Boiler Control, Health & Safety, SCADA. We offer competitive salary and career progression.",2026-06-22,ScottishPower Renewables,East of England,8124,32656,35708,Green Energy,Boiler Control;Health & Safety;SCADA;Equipment Maintenance;Plant Operations,scraped_mock
ADZ-1000045,Junior Electrical Grid Engineer,"We are seeking a motivated Junior Electrical Grid Engineer to join our growing team in Wales. The successful candidate will demonstrate proficiency in PLC Programming, HV Electrical, MATLAB. We offer competitive salary and career progression.",2026-05-10,ScottishPower Renewables,Wales,2123,30125,33101,Green Energy,PLC Programming;HV Electrical;MATLAB;Grid Connections,scraped_mock
ADZ-1000046,Senior IT Business Analyst,"We are seeking a motivated Senior IT Business Analyst to join our growing team in Scotland. The successful candidate will demonstrate proficiency in System Architecture, UML, Requirements Gathering. We offer competitive salary and career progression.",2026-04-22,Sage Group,Scotland,2135,69701,74805,Tech,System Architecture;UML;Requirements Gathering;Business Analysis;TOGAF,scraped_mock
ADZ-1000047,Lead Clinical Pharmacist,"We are seeking a motivated Lead Clinical Pharmacist to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Patient Counselling, Medicines Management, Clinical Pharmacy. We offer competitive salary and career progression.",2026-04-24,Bupa UK,West Midlands,2237,53263,56171,Healthcare,Patient Counselling;Medicines Management;Clinical Pharmacy;Prescription Auditing,scraped_mock
ADZ-1000048,Junior IT Operations Analyst,"We are seeking a motivated Junior IT Operations Analyst to join our growing team in South East. The successful candidate will demonstrate proficiency in Networking, Troubleshooting, Office 365. We offer competitive salary and career progression.",2026-07-04,Revolut,South East,3131,68657,75401,Tech,Networking;Troubleshooting;Office 365;Windows Server,scraped_mock
ADZ-1000049,Biomass Boiler Operator,"We are seeking a motivated Biomass Boiler Operator to join our growing team in London. The successful candidate will demonstrate proficiency in Health & Safety, Plant Operations, Boiler Control. We offer competitive salary and career progression.",2026-05-12,Vestas UK,London,8124,71619,75215,Green Energy,Health & Safety;Plant Operations;Boiler Control;Equipment Maintenance,scraped_mock
ADZ-1000050,Senior IT Support Technician,"We are seeking a motivated Senior IT Support Technician to join our growing team in South West. The successful candidate will demonstrate proficiency in Active Directory, Windows Server, ITIL. We offer competitive salary and career progression.",2026-07-14,BAE Systems,South West,3131,94910,106774,Tech,Active Directory;Windows Server;ITIL;Troubleshooting;Office 365;Networking,scraped_mock
ADZ-1000051,Helpdesk Engineer,"We are seeking a motivated Helpdesk Engineer to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Troubleshooting, Active Directory, Office 365. We offer competitive salary and career progression.",2026-06-27,Deliveroo,West Midlands,3131,44679,48984,Tech,Troubleshooting;Active Directory;Office 365;ITIL;Windows Server,scraped_mock
ADZ-1000052,Principal Medical Lab Technician,"We are seeking a motivated Principal Medical Lab Technician to join our growing team in South West. The successful candidate will demonstrate proficiency in Medical Imaging, Pathology, Laboratory Testing. We offer competitive salary and career progression.",2026-07-02,Spire Healthcare,South West,3211,32335,35714,Healthcare,Medical Imaging;Pathology;Laboratory Testing;X-Ray;MRI,scraped_mock
ADZ-1000053,Lead Consultant Cardiologist,"We are seeking a motivated Lead Consultant Cardiologist to join our growing team in South West. The successful candidate will demonstrate proficiency in Prescribing, Medical Research, Patient Care. We offer competitive salary and career progression.",2026-04-27,HCA Healthcare UK,South West,2211,86714,97705,Healthcare,Prescribing;Medical Research;Patient Care;Internal Medicine;Clinical Diagnostics,scraped_mock
ADZ-1000054,Frontend Web Specialist,"We are seeking a motivated Frontend Web Specialist to join our growing team in East of England. The successful candidate will demonstrate proficiency in Web Content, Responsive Design, HTML. We offer competitive salary and career progression.",2026-04-30,Deliveroo,East of England,2137,71205,77749,Tech,Web Content;Responsive Design;HTML;Figma;CSS;WordPress,scraped_mock
ADZ-1000055,IT Operations Analyst,"We are seeking a motivated IT Operations Analyst to join our growing team in South West. The successful candidate will demonstrate proficiency in Active Directory, Office 365, Windows Server. We offer competitive salary and career progression.",2026-06-11,CGI UK,South West,3131,43590,49351,Tech,Active Directory;Office 365;Windows Server;ITIL;Networking;Troubleshooting,scraped_mock
ADZ-1000056,Junior Registrar - Acute Medicine,"We are seeking a motivated Junior Registrar - Acute Medicine to join our growing team in South East. The successful candidate will demonstrate proficiency in Prescribing, Internal Medicine, Patient Care. We offer competitive salary and career progression.",2026-05-05,Barchester Healthcare,South East,2211,29848,32697,Healthcare,Prescribing;Internal Medicine;Patient Care;Medical Research;Clinical Diagnostics,scraped_mock
ADZ-1000057,Junior Cloud Engineer,"We are seeking a motivated Junior Cloud Engineer to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in AWS, Kubernetes, Cyber Security. We offer competitive salary and career progression.",2026-06-19,Revolut,West Midlands,2139,31530,34104,Tech,AWS;Kubernetes;Cyber Security;Data Pipelines;CI/CD,scraped_mock
ADZ-1000058,Lead Cloud Engineer,"We are seeking a motivated Lead Cloud Engineer to join our growing team in East of England. The successful candidate will demonstrate proficiency in CI/CD, Data Pipelines, Spark. We offer competitive salary and career progression.",2026-05-16,Arup Digital,East of England,2139,99875,112396,Tech,CI/CD;Data Pipelines;Spark;AWS;Kubernetes;Cyber Security,scraped_mock
ADZ-1000059,Senior Solar PV Installation Inspector,"We are seeking a motivated Senior Solar PV Installation Inspector to join our growing team in South West. The successful candidate will demonstrate proficiency in Electrical Testing, Instrumentation, Wiring. We offer competitive salary and career progression.",2026-04-28,BP Alternative Energy,South West,3112,55585,59423,Green Energy,Electrical Testing;Instrumentation;Wiring;Safety Regulations;Maintenance,scraped_mock
ADZ-1000060,Lead Registered Nurse,"We are seeking a motivated Lead Registered Nurse to join our growing team in Wales. The successful candidate will demonstrate proficiency in Medication Administration, NMC Pin, Patient Assessment. We offer competitive salary and career progression.",2026-06-23,Bupa UK,Wales,2231,75825,84579,Healthcare,Medication Administration;NMC Pin;Patient Assessment;CPR;Record Keeping;Wound Care,scraped_mock
ADZ-1000061,Pharmacist,"We are seeking a motivated Pharmacist to join our growing team in South East. The successful candidate will demonstrate proficiency in Clinical Pharmacy, Medicines Management, Prescription Auditing. We offer competitive salary and career progression.",2026-04-19,Spire Healthcare,South East,2237,36037,40235,Healthcare,Clinical Pharmacy;Medicines Management;Prescription Auditing,scraped_mock
ADZ-1000062,Junior High Voltage Connections Engineer,"We are seeking a motivated Junior High Voltage Connections Engineer to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in PLC Programming, Grid Connections, Power Systems. We offer competitive salary and career progression.",2026-07-12,Ecotricity,West Midlands,2123,30246,32817,Green Energy,PLC Programming;Grid Connections;Power Systems;MATLAB,scraped_mock
ADZ-1000063,Senior Clinical Pharmacist,"We are seeking a motivated Senior Clinical Pharmacist to join our growing team in South West. The successful candidate will demonstrate proficiency in Patient Counselling, Clinical Pharmacy, Prescription Auditing. We offer competitive salary and career progression.",2026-05-30,NHS England,South West,2237,67733,74870,Healthcare,Patient Counselling;Clinical Pharmacy;Prescription Auditing;Medicines Management,scraped_mock
ADZ-1000064,Renewable Energy Design Specialist,"We are seeking a motivated Renewable Energy Design Specialist to join our growing team in North West. The successful candidate will demonstrate proficiency in HVAC, FEA, Mechanical Design. We offer competitive salary and career progression.",2026-05-23,Octopus Energy,North West,2122,48456,55078,Green Energy,HVAC;FEA;Mechanical Design,scraped_mock
ADZ-1000065,IT Support Technician,"We are seeking a motivated IT Support Technician to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Office 365, Windows Server, Active Directory. We offer competitive salary and career progression.",2026-07-04,CGI UK,Scotland,3131,55197,61538,Tech,Office 365;Windows Server;Active Directory;ITIL;Troubleshooting,scraped_mock
ADZ-1000066,Junior Hydroelectric Plant Operator,"We are seeking a motivated Junior Hydroelectric Plant Operator to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Equipment Maintenance, Health & Safety, Boiler Control. We offer competitive salary and career progression.",2026-05-11,Orsted UK,West Midlands,8124,28953,31772,Green Energy,Equipment Maintenance;Health & Safety;Boiler Control;SCADA,scraped_mock
ADZ-1000067,Frontend Web Specialist,"We are seeking a motivated Frontend Web Specialist to join our growing team in Wales. The successful candidate will demonstrate proficiency in Web Content, Responsive Design, UI/UX. We offer competitive salary and career progression.",2026-05-14,Deliveroo,Wales,2137,47441,53821,Tech,Web Content;Responsive Design;UI/UX;HTML;CSS;Figma,scraped_mock
ADZ-1000068,Lead Renewable Systems Designer,"We are seeking a motivated Lead Renewable Systems Designer to join our growing team in East of England. The successful candidate will demonstrate proficiency in Renewable Design, SolidWorks, Prototyping. We offer competitive salary and career progression.",2026-04-19,Vestas UK,East of England,2126,75320,82072,Green Energy,Renewable Design;SolidWorks;Prototyping;Product Design;Battery Chemistry,scraped_mock
ADZ-1000069,Lead Pharmacy Manager,"We are seeking a motivated Lead Pharmacy Manager to join our growing team in London. The successful candidate will demonstrate proficiency in Prescription Auditing, Patient Counselling, Clinical Pharmacy. We offer competitive salary and career progression.",2026-04-28,NHS Scotland,London,2237,67210,74237,Healthcare,Prescription Auditing;Patient Counselling;Clinical Pharmacy;Medicines Management,scraped_mock
ADZ-1000070,Ward Support Worker,"We are seeking a motivated Ward Support Worker to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Vital Signs, Patient Mobility, Infection Control. We offer competitive salary and career progression.",2026-05-21,HCA Healthcare UK,West Midlands,6141,42645,46767,Healthcare,Vital Signs;Patient Mobility;Infection Control,scraped_mock
ADZ-1000071,Junior Renewable Energy Design Specialist,"We are seeking a motivated Junior Renewable Energy Design Specialist to join our growing team in Wales. The successful candidate will demonstrate proficiency in HVAC, Thermodynamics, CAD. We offer competitive salary and career progression.",2026-06-13,Orsted UK,Wales,2122,27047,29144,Green Energy,HVAC;Thermodynamics;CAD,scraped_mock
ADZ-1000072,UX/UI Web Developer,"We are seeking a motivated UX/UI Web Developer to join our growing team in South East. The successful candidate will demonstrate proficiency in Web Content, CSS, Responsive Design. We offer competitive salary and career progression.",2026-05-15,Revolut,South East,2137,82424,89412,Tech,Web Content;CSS;Responsive Design;HTML;WordPress,scraped_mock
ADZ-1000073,Senior Systems Analyst,"We are seeking a motivated Senior Systems Analyst to join our growing team in South East. The successful candidate will demonstrate proficiency in Business Analysis, UML, Agile. We offer competitive salary and career progression.",2026-05-16,Sage Group,South East,2135,77547,85245,Tech,Business Analysis;UML;Agile;Jira;Requirements Gathering,scraped_mock
ADZ-1000074,Junior Cardiac Physiologist,"We are seeking a motivated Junior Cardiac Physiologist to join our growing team in South West. The successful candidate will demonstrate proficiency in Pathology, Medical Imaging, X-Ray. We offer competitive salary and career progression.",2026-06-19,NHS England,South West,3211,26757,28512,Healthcare,Pathology;Medical Imaging;X-Ray;MRI,scraped_mock
ADZ-1000075,Junior Wind Turbine Commissioning Technician,"We are seeking a motivated Junior Wind Turbine Commissioning Technician to join our growing team in East of England. The successful candidate will demonstrate proficiency in Safety Regulations, Maintenance, Electrical Testing. We offer competitive salary and career progression.",2026-04-25,Babcock International,East of England,3112,38914,44080,Green Energy,Safety Regulations;Maintenance;Electrical Testing,scraped_mock
ADZ-1000076,Senior Web Developer,"We are seeking a motivated Senior Web Developer to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Figma, Web Content, CSS. We offer competitive salary and career progression.",2026-04-30,Direct Line Tech,Scotland,2137,95840,107837,Tech,Figma;Web Content;CSS;WordPress,scraped_mock
ADZ-1000077,Senior Hydroelectric Plant Operator,"We are seeking a motivated Senior Hydroelectric Plant Operator to join our growing team in Wales. The successful candidate will demonstrate proficiency in Plant Operations, Equipment Maintenance, Boiler Control. We offer competitive salary and career progression.",2026-07-12,Octopus Energy,Wales,8124,66511,76139,Green Energy,Plant Operations;Equipment Maintenance;Boiler Control;Health & Safety;SCADA,scraped_mock
ADZ-1000078,UX/UI Web Developer,"We are seeking a motivated UX/UI Web Developer to join our growing team in Wales. The successful candidate will demonstrate proficiency in UI/UX, Responsive Design, Web Content. We offer competitive salary and career progression.",2026-06-09,Direct Line Tech,Wales,2137,48884,54847,Tech,UI/UX;Responsive Design;Web Content,scraped_mock
ADZ-1000079,Principal Structural Engineer - Renewables,"We are seeking a motivated Principal Structural Engineer - Renewables to join our growing team in South West. The successful candidate will demonstrate proficiency in Civil Engineering, Structural Analysis, CDM Regulations. We offer competitive salary and career progression.",2026-04-30,BP Alternative Energy,South West,2121,44151,48932,Green Energy,Civil Engineering;Structural Analysis;CDM Regulations;AutoCAD;Project Management,scraped_mock
